NDW:0.0
TTFW:0.8
DFPT:2.0
DFPAP:3.0
DFPMP:3.0
SEARCH_STEPS:3.0
TIME_TO_FINISH:2.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
notchParam-1,true,1.00,11,379,9,1,508,297
notchParam-2,true,1.00,5,317,3,1,131,7
notchParam-3,true,1.00,5,351,3,1,145,8
notchParam-4,true,1.00,6,346,4,1,153,9
notchParam-5,true,1.00,5,318,4,1,125,8
notchParam-6,true,1.00,5,312,3,1,126,6
notchParam-7,true,1.00,6,335,4,1,162,11
notchParam-8,true,1.00,7,358,4,1,195,17
notchParam-9,true,1.00,6,353,4,1,153,8
notchParam-10,true,1.00,6,342,4,1,149,10
notchParam-11,true,1.00,5,306,3,1,120,3
notchParam-12,true,1.00,6,321,4,1,156,18
notchParam-13,true,1.00,5,322,3,1,124,5
notchParam-14,true,1.00,4,300,2,1,111,5
notchParam-15,true,1.00,7,330,5,1,215,41
notchParam-16,true,1.00,21,372,19,1,1023,762
notchParam-17,true,1.00,10,367,8,1,480,273
notchParam-18,true,1.00,10,370,7,1,296,154
notchParam-19,true,1.00,6,334,3,1,126,7
notchParam-20,true,1.00,5,312,3,1,115,5
notchParam-21,true,1.00,7,363,5,1,188,33
notchParam-22,true,1.00,5,328,4,1,131,5
notchParam-23,true,1.00,6,397,4,1,186,7
notchParam-24,true,1.00,6,361,4,1,202,30
notchParam-25,true,1.00,5,360,3,1,168,8
notchParam-26,true,1.00,5,351,3,1,154,7
notchParam-27,true,1.00,4,312,3,1,117,7
notchParam-28,true,1.00,6,359,3,1,146,9
notchParam-29,true,1.00,5,347,3,1,143,8
notchParam-30,true,1.00,5,318,3,1,122,5
notchParam-31,true,1.00,6,321,4,1,191,39
notchParam-32,true,1.00,17,352,14,1,872,471
notchParam-33,true,1.00,5,318,3,1,121,7
notchParam-34,true,1.00,11,367,10,1,462,275
notchParam-35,true,1.00,14,357,12,1,752,204
notchParam-36,true,1.00,5,306,3,1,160,11
notchParam-37,true,1.00,5,318,3,1,119,3
notchParam-38,true,1.00,5,294,3,1,110,3
notchParam-39,true,1.00,5,300,3,1,138,15
notchParam-40,true,1.00,5,330,3,1,143,11
notchParam-41,true,1.00,6,345,3,1,151,11
notchParam-42,true,1.00,5,312,3,1,115,7
notchParam-43,true,1.00,5,310,3,1,149,7
notchParam-44,true,1.00,6,351,4,1,172,14
notchParam-45,true,1.00,6,318,4,1,189,20
notchParam-46,true,1.00,5,318,3,1,163,11
notchParam-47,true,1.00,5,312,3,1,117,12
notchParam-48,true,1.00,6,373,4,1,144,5
notchParam-49,true,1.00,5,336,3,1,129,7
notchParam-50,true,1.00,4,309,3,1,114,7
notchParam-51,true,1.00,5,322,3,1,124,7
notchParam-52,true,1.00,11,342,9,1,505,188
notchParam-53,true,1.00,13,368,11,1,635,265
notchParam-54,true,1.00,7,342,5,1,229,81
notchParam-55,true,1.00,6,331,4,1,129,5
notchParam-56,true,1.00,5,305,3,1,119,5
notchParam-57,true,1.00,6,348,4,1,167,12
notchParam-58,true,1.00,5,341,3,1,142,5
notchParam-59,true,1.00,6,368,4,1,168,12
notchParam-60,true,1.00,6,354,4,1,145,7
notchParam-61,true,1.00,6,380,4,1,198,18
notchParam-62,true,1.00,4,300,2,1,116,7
notchParam-63,true,1.00,6,342,3,1,142,7
notchParam-64,true,1.00,5,321,3,1,131,8
notchParam-65,true,1.00,5,331,3,1,148,8
notchParam-66,true,1.00,6,355,4,1,152,7
notchParam-67,true,1.00,8,361,6,1,307,56
notchParam-68,true,1.00,12,386,10,1,578,399
notchParam-69,true,1.00,5,327,3,1,139,7
notchParam-70,true,1.00,7,333,5,1,222,80
notchParam-71,true,1.00,6,358,3,1,150,7
notchParam-72,true,1.00,5,328,3,1,143,7
notchParam-73,true,1.00,6,328,4,1,194,18
notchParam-74,true,1.00,5,341,3,1,151,8
notchParam-75,true,1.00,6,350,3,1,146,8
notchParam-76,true,1.00,6,354,4,1,177,17
notchParam-77,true,1.00,5,316,3,1,135,9
notchParam-78,true,1.00,7,377,4,1,194,20
notchParam-79,true,1.00,5,341,3,1,142,13
notchParam-80,true,1.00,10,373,8,1,299,154
notchParam-81,true,1.00,5,342,3,1,147,8
notchParam-82,true,1.00,5,317,3,1,123,5
notchParam-83,true,1.00,5,300,4,1,113,5
notchParam-84,true,1.00,10,361,8,1,435,236
notchParam-85,true,1.00,30,380,28,1,1679,1196
notchParam-86,true,1.00,5,318,3,1,161,19
notchParam-87,true,1.00,5,294,3,1,111,5
notchParam-88,true,1.00,5,303,3,1,110,4
notchParam-89,true,1.00,4,300,2,1,115,5
notchParam-90,true,1.00,5,307,3,1,118,4
notchParam-91,true,1.00,5,312,3,1,137,5
notchParam-92,true,1.00,6,331,4,1,175,17
notchParam-93,true,1.00,5,326,3,1,156,7
notchParam-94,true,1.00,6,343,5,1,146,6
notchParam-95,true,1.00,7,401,5,1,198,11
notchParam-96,true,1.00,6,355,4,1,169,22
notchParam-97,true,1.00,5,314,3,1,131,5
notchParam-98,true,1.00,5,320,3,1,124,7
notchParam-99,true,1.00,7,342,5,1,232,81
notchParam-100,true,1.00,10,337,8,1,446,241
