NDW:0.0
TTFW:0.4
DFPT:2.0
DFPAP:3.0
DFPMP:50.0
SEARCH_STEPS:5.0
TIME_TO_FINISH:2.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
ore-1,true,1.00,11,660,7,1,181,9
ore-2,true,1.00,9,545,5,1,148,11
ore-3,true,1.00,11,578,8,1,191,24
ore-4,true,1.00,2230,800,2226,68,59245,407
ore-5,true,1.00,19,637,15,1,453,200
ore-6,true,1.00,9,557,6,1,150,10
ore-7,true,1.00,9,509,5,1,153,14
ore-8,true,1.00,9,529,6,1,134,7
ore-9,true,1.00,9,505,6,1,150,23
ore-10,true,1.00,14,584,11,1,286,116
ore-11,true,1.00,13,638,8,1,211,14
ore-12,true,1.00,15,647,10,1,287,59
ore-13,true,1.00,12668,841,12665,388,406776,687
ore-14,true,1.00,10,523,6,1,171,37
ore-15,true,1.00,35,623,30,1,859,277
ore-16,true,1.00,28,701,23,1,630,203
ore-17,true,1.00,12,539,8,1,196,58
ore-18,true,1.00,13,669,8,1,209,59
ore-19,true,1.00,9,560,5,1,162,14
ore-20,true,1.00,16,616,11,1,329,78
ore-21,true,1.00,10,579,6,1,158,19
ore-22,true,1.00,9,538,5,1,161,10
ore-23,true,1.00,10,600,7,1,183,22
ore-24,true,1.00,9,512,5,1,162,18
ore-25,true,1.00,12,522,8,1,216,28
ore-26,true,1.00,11,556,7,1,200,26
ore-27,true,1.00,8,500,6,1,151,14
ore-28,true,1.00,10,512,7,1,178,33
ore-29,true,1.00,24,599,20,1,461,223
ore-30,true,1.00,10,533,6,1,163,12
ore-31,true,1.00,11,584,7,1,218,27
ore-32,true,1.00,16,696,11,1,316,89
ore-33,true,1.00,8,521,5,1,136,8
ore-34,true,1.00,3287,648,3285,100,86967,601
ore-35,true,1.00,11,561,7,1,170,10
ore-36,true,1.00,9,521,6,1,154,19
ore-37,true,1.00,9,526,6,1,172,27
ore-38,true,1.00,8,480,6,1,133,9
ore-39,true,1.00,9,544,5,1,138,5
ore-40,true,1.00,16,682,11,1,310,56
ore-41,true,1.00,59,647,55,2,1630,318
ore-42,true,1.00,12,640,8,1,232,42
ore-43,true,1.00,10,601,6,1,149,7
ore-44,true,1.00,12,585,8,1,225,40
ore-45,true,1.00,25,624,21,1,508,251
ore-46,true,1.00,11,469,8,1,203,60
ore-47,true,1.00,12,601,8,1,202,25
ore-48,true,1.00,9,518,5,1,153,13
ore-49,true,1.00,13,574,9,1,275,70
ore-50,true,1.00,10,583,6,1,176,13
ore-51,true,1.00,12,627,10,1,241,24
ore-52,true,1.00,20,616,15,1,399,82
ore-53,true,1.00,11,543,7,1,193,40
ore-54,true,1.00,14,560,10,1,288,49
ore-55,true,1.00,9,489,6,1,157,35
ore-56,true,1.00,15,630,11,1,304,87
ore-57,true,1.00,21,625,17,1,471,243
ore-58,true,1.00,933,540,930,29,30435,45
ore-59,true,1.00,3749,684,3745,114,112215,369
ore-60,true,1.00,12,565,8,1,222,60
ore-61,true,1.00,9,516,5,1,143,9
ore-62,true,1.00,11,534,7,1,176,55
ore-63,true,1.00,1193,781,1187,36,32697,509
ore-64,true,1.00,8,517,4,1,127,5
ore-65,true,1.00,12,560,8,1,227,29
ore-66,true,1.00,30,623,25,1,651,469
ore-67,true,1.00,8,502,5,1,144,18
ore-68,true,1.00,10,441,7,1,185,26
ore-69,true,1.00,20,625,15,1,445,144
ore-70,true,1.00,2692,522,2689,83,77916,807
ore-71,true,1.00,14,695,9,1,263,18
ore-72,true,1.00,9,529,5,1,158,39
ore-73,true,1.00,26,870,20,1,595,135
ore-74,true,1.00,2045,908,2039,62,47820,449
ore-75,true,1.00,20,779,15,1,434,115
ore-76,true,1.00,9,514,5,1,144,9
ore-77,true,1.00,13,689,8,1,220,26
ore-78,true,1.00,8,522,5,1,137,8
ore-79,true,1.00,8,513,4,1,130,8
ore-80,true,1.00,425,702,421,13,12101,585
ore-81,true,1.00,11,565,7,1,168,12
ore-82,true,1.00,23,745,19,1,541,122
ore-83,true,1.00,99,867,94,3,2815,247
ore-84,true,1.00,12,618,8,1,221,79
ore-85,true,1.00,10,565,6,1,157,11
ore-86,true,1.00,11,620,7,1,182,11
ore-87,true,1.00,9,478,5,1,157,21
ore-88,true,1.00,13,588,9,1,250,67
ore-89,true,1.00,9,514,7,1,152,17
ore-90,false,0.50,9177,293,9177,293,296018,928
ore-91,true,1.00,32,607,28,1,858,469
ore-92,true,1.00,9,521,5,1,150,16
ore-93,true,1.00,21,658,17,1,414,247
ore-94,true,1.00,17,698,12,1,336,112
ore-95,true,1.00,8880,724,8877,270,196297,644
ore-96,true,1.00,24,740,18,1,478,292
ore-97,true,1.00,9,535,5,1,154,13
ore-98,true,1.00,15,620,11,1,264,49
ore-99,true,1.00,22,762,17,1,470,297
ore-100,true,1.00,30,770,25,1,783,288
